age,n,avg_per
19.0,97,13.048453608247423
20.0,236,13.777542372881356
21.0,382,14.679581151832462
22.0,508,15.133267716535432
23.0,649,15.0768875192604
24.0,683,15.342313323572473
25.0,689,15.60478955007257
26.0,675,15.69822222222222
27.0,637,15.519309262166404
28.0,595,15.50672268907563
29.0,541,15.00536044362292
30.0,464,15.069827586206896
31.0,400,14.5625
32.0,309,14.829449838187703
33.0,238,14.648319327731093
34.0,188,14.641489361702128
35.0,143,14.616783216783215
36.0,94,15.074468085106384
37.0,65,14.546153846153846
38.0,36,14.552777777777777
