age,n,avg_delta,cum
19.0,70,1.7314285714285715,1.7314285714285715
20.0,189,1.6576719576719576,3.389100529100529
21.0,297,1.0909090909090908,4.4800096200096196
22.0,392,0.8071428571428573,5.2871524771524765
23.0,496,0.27298387096774185,5.560136348120218
24.0,514,0.3233463035019456,5.883482651622163
25.0,530,-0.07943396226415093,5.804048689358012
26.0,501,-0.2624750499001996,5.541573639457813
27.0,485,-0.16144329896907214,5.380130340488741
28.0,440,-0.5931818181818181,4.786948522306923
29.0,384,-0.3625,4.424448522306923
30.0,332,-0.9460843373493977,3.4783641849575253
31.0,260,-0.5319230769230769,2.946441108034448
32.0,191,-0.9251308900523562,2.021310217982092
33.0,154,-0.918181818181818,1.103128399800274
34.0,124,-0.8967741935483872,0.20635420625188694
35.0,85,-0.6399999999999999,-0.43364579374811296
36.0,58,-1.3293103448275863,-1.7629561385756993
