player,season,age,per,per_next,d_per,mp,mp_next,changed_team
Domantas Sabonis,2017,20.0,6.9,17.5,10.6,1632.0,1810.0,True
Victor Oladipo,2017,24.0,13.6,23.1,9.5,2222.0,2552.0,True
Dwyane Wade,2008,26.0,21.5,30.4,8.9,1954.0,3048.0,False
Damian Lillard,2022,31.0,18.5,26.7,8.2,1056.0,2107.0,False
George Hill,2014,27.0,13.4,21.5,8.1,2434.0,1267.0,False
Nate Robinson,2011,26.0,10.0,18.0,8.0,1013.0,1192.0,True
Luka Dončić,2019,19.0,19.6,27.6,8.0,2318.0,2047.0,False
Trey Lyles,2017,21.0,9.9,17.9,8.0,1158.0,1391.0,True
Jimmy Butler,2014,24.0,13.5,21.3,7.8,2591.0,2513.0,False
José Calderón,2006,24.0,11.4,19.1,7.7,1487.0,1614.0,False
