player,season,age,per,per_next,d_per,mp,mp_next,changed_team
Lamar Odom,2011,31.0,19.4,9.2,-10.2,2639.0,1027.0,True
Tyreke Evans,2018,28.0,21.1,11.5,-9.6,1607.0,1402.0,True
Speedy Claxton,2006,27.0,16.1,7.3,-8.8,2019.0,1054.0,True
Ty Lawson,2015,27.0,18.5,9.7,-8.8,2665.0,1411.0,True
James Posey,2004,27.0,18.8,10.5,-8.3,2451.0,1382.0,False
George Hill,2015,28.0,21.5,13.2,-8.3,1267.0,2524.0,False
Kevin Love,2014,25.0,26.9,18.8,-8.1,2797.0,2532.0,True
Dickey Simpkins,1999,26.0,13.4,5.5,-7.9,1448.0,1651.0,False
Chris Gatling,1997,29.0,23.9,16.0,-7.9,1283.0,1359.0,True
Vin Baker,1998,26.0,20.4,12.5,-7.9,2944.0,1162.0,False
