stat,n,corr
trb_percent,7088,0.9400087191448876
x3p_ar,7085,0.9345889353540939
ast_percent,7088,0.9107029514602918
blk_percent,7088,0.8987116871896054
usg_percent,7088,0.8610644186598007
per,7088,0.7774730725097058
vorp,7088,0.7708799611706537
stl_percent,7088,0.7506347844269924
ft_percent,7055,0.7000450624804354
bpm,7088,0.6886238302566876
tov_percent,7086,0.6858798343811737
ws_48,7088,0.612724983599225
ts_percent,7085,0.5826718046419329
mp,7088,0.5258533045643485
x3p_percent,6445,0.502645589206196
g,7088,0.16308125011675556
