player,team,age,mp,per,pred_2027,delta
Nikola Jokić,DEN,30.0,2265.0,32.3,31.3004798205195,-0.9995201794804984
Shai Gilgeous-Alexander,OKC,27.0,2259.0,30.8,29.637648518172064,-1.1623514818279368
Giannis Antetokounmpo,MIL,31.0,1039.0,32.6,29.507707532321803,-3.092292467678199
Victor Wembanyama,SAS,22.0,1866.0,29.9,28.536253151064308,-1.3637468489356905
Luka Dončić,LAL,26.0,2289.0,27.9,27.420444741276384,-0.4795552587236145
Jalen Duren,DET,22.0,1976.0,26.1,24.710633214257363,-1.389366785742638
Joel Embiid,PHI,31.0,1201.0,24.7,23.43432158636984,-1.2656784136301589
Kawhi Leonard,LAC,34.0,2085.0,27.9,22.7320713708516,-5.167928629148399
Zion Williamson,NOP,25.0,1841.0,22.6,22.71450286928567,0.1145028692856691
Alperen Şengün,HOU,23.0,2398.0,21.4,22.186053878590275,0.7860538785902769
Cade Cunningham,DET,24.0,2172.0,21.6,21.87708428433108,0.2770842843310781
Chet Holmgren,OKC,23.0,1997.0,21.6,21.73918308367852,0.1391830836785175
Anthony Edwards,MIN,24.0,2137.0,21.8,21.63332709102386,-0.16667290897613896
Donovan Mitchell,CLE,29.0,2342.0,22.9,21.488589635329816,-1.411410364670182
Karl-Anthony Towns,NYK,30.0,2322.0,22.0,21.234680939912934,-0.7653190600870658
Donovan Clingan,POR,21.0,2094.0,20.9,21.20370760867623,0.3037076086762305
Mark Williams,PHO,24.0,1416.0,21.8,21.170420889074066,-0.6295791109259348
Jarrett Allen,CLE,27.0,1519.0,22.1,21.057928366752343,-1.0420716332476587
Evan Mobley,CLE,24.0,2074.0,20.0,20.973691637392935,0.9736916373929354
Tyrese Maxey,PHI,25.0,2661.0,21.9,20.66073228109243,-1.2392677189075698
Amen Thompson,HOU,23.0,2953.0,18.9,20.332455812192613,1.4324558121926145
Jimmy Butler,GSW,36.0,1182.0,23.5,20.21907185175244,-3.280928148247561
Jalen Johnson,ATL,24.0,2532.0,20.4,20.09455393693706,-0.30544606306293787
Stephen Curry,GSW,37.0,1329.0,22.6,19.98497485976644,-2.6150251402335627
Jalen Brunson,NYK,29.0,2590.0,20.1,19.979647314144724,-0.12035268585527703
Jamal Murray,DEN,28.0,2652.0,21.8,19.92573919034792,-1.8742608096520819
LeBron James,LAL,41.0,1989.0,20.8,19.903406045803635,-0.8965939541963657
Paolo Banchero,ORL,23.0,2502.0,17.6,19.831470357392234,2.231470357392233
Kel'el Ware,MIA,21.0,1704.0,20.0,19.810057576021126,-0.18994242397887362
Jaylen Brown,BOS,29.0,2443.0,22.0,19.766434353966286,-2.233565646033714
Scottie Barnes,TOR,24.0,2681.0,19.2,19.67061625833589,0.47061625833589105
LaMelo Ball,CHO,24.0,2017.0,19.7,19.661700236022398,-0.038299763977601486
Devin Booker,PHO,29.0,2146.0,20.4,19.37901429675334,-1.0209857032466587
Cooper Flagg,DAL,19.0,2344.0,17.9,19.347807043616726,1.4478070436167272
Deni Avdija,POR,25.0,2199.0,20.3,19.26201948002596,-1.0379805199740417
Austin Reaves,LAL,27.0,1762.0,20.2,19.256261623105726,-0.9437383768942738
Day'Ron Sharpe,BRK,24.0,1160.0,20.5,19.20507253904664,-1.2949274609533603
Robert Williams,POR,28.0,1008.0,22.1,19.168251355469792,-2.9317486445302094
Kevin Durant,HOU,37.0,2840.0,21.1,19.152854241782812,-1.9471457582171894
Daniel Gafford,DAL,27.0,1195.0,18.8,19.134765791115242,0.33476579111524174
Alex Sarr,WAS,20.0,1305.0,19.4,19.120276877431984,-0.279723122568015
Franz Wagner,ORL,24.0,1019.0,19.2,19.089126949846683,-0.11087305015331594
Josh Giddey,CHI,23.0,1731.0,18.0,18.980052443267432,0.9800524432674322
James Harden,2TM,36.0,2438.0,20.7,18.917833428132756,-1.7821665718672435
Mitchell Robinson,NYK,27.0,1175.0,21.1,18.780777476017743,-2.3192225239822584
Isaiah Hartenstein,OKC,27.0,1137.0,19.8,18.766442052422057,-1.0335579475779433
Stephon Castle,SAS,21.0,2038.0,17.4,18.60153404723301,1.201534047233011
Lauri Markkanen,UTA,28.0,1443.0,21.1,18.535662659173067,-2.5643373408269348
Bam Adebayo,MIA,28.0,2365.0,18.7,18.525571103709353,-0.17442889629064595
Ivica Zubac,2TM,28.0,1446.0,18.6,18.481585918943086,-0.11841408105691542
Neemias Queta,BOS,26.0,1926.0,20.3,18.43745705542266,-1.862542944577342
Marvin Bagley III,2TM,26.0,1201.0,20.2,18.185535948413005,-2.0144640515869945
Kon Knueppel,CHO,20.0,2551.0,17.1,17.993596663422508,0.8935966634225068
Deandre Ayton,LAL,27.0,1958.0,18.2,17.9349322647551,-0.265067735244898
De'Aaron Fox,SAS,28.0,2231.0,17.6,17.86910999282805,0.26910999282804937
Luka Garza,BOS,27.0,1118.0,19.9,17.84591032178173,-2.0540896782182685
Dylan Harper,SAS,19.0,1558.0,16.2,17.75716846261422,1.5571684626142215
Kevin Porter Jr.,MIL,25.0,1261.0,18.7,17.704221935569475,-0.9957780644305245
Pascal Siakam,IND,31.0,2057.0,18.6,17.582330744136453,-1.0176692558635487
Julius Randle,MIN,31.0,2610.0,18.4,17.371853342475013,-1.0281466575249851
Derik Queen,NOP,21.0,2023.0,15.9,17.332880293813478,1.4328802938134775
Trey Murphy III,NOP,25.0,2341.0,18.3,17.23035346688252,-1.0696465331174814
Keyonte George,UTA,22.0,1786.0,18.5,17.22432969201512,-1.2756703079848783
Tyler Herro,MIA,26.0,1033.0,17.1,17.223765992072416,0.12376599207241412
Michael Porter Jr.,BRK,27.0,1689.0,19.9,17.188479168451252,-2.7115208315487465
Desmond Bane,ORL,27.0,2756.0,16.9,17.16845289116009,0.2684528911600914
Darius Garland,2TM,26.0,1344.0,17.1,17.122642693838376,0.022642693838374583
Collin Murray-Boyles,TOR,20.0,1246.0,16.4,16.99435877249256,0.5943587724925621
Tre Jones,CHI,26.0,1752.0,18.7,16.962514226599474,-1.7374857734005253
Ausar Thompson,DET,23.0,1896.0,16.2,16.929270251018497,0.7292702510184981
Jaren Jackson Jr.,2TM,26.0,1454.0,15.7,16.899250737139788,1.1992507371397885
Jakob Poeltl,TOR,30.0,1149.0,18.1,16.895618134463476,-1.2043818655365257
RJ Barrett,TOR,25.0,1726.0,17.0,16.882672087562934,-0.11732791243706586
Rudy Gobert,MIN,33.0,2380.0,17.5,16.878513440330764,-0.6214865596692363
Nic Claxton,BRK,26.0,1920.0,17.6,16.808313904465862,-0.7916860955341392
Onyeka Okongwu,ATL,25.0,2297.0,15.9,16.747583284581996,0.8475832845819955
Aaron Gordon,DEN,30.0,1005.0,18.5,16.721674912328343,-1.7783250876716572
Jalen Smith,CHI,25.0,1095.0,16.6,16.678499783873885,0.0784997838738839
Kyle Filipowski,UTA,22.0,1801.0,16.0,16.673465624984658,0.673465624984658
Moussa Diabaté,CHO,24.0,1899.0,17.2,16.63885786252261,-0.5611421374773897
Jaxson Hayes,LAL,25.0,1207.0,18.3,16.601493378965422,-1.6985066210345785
Dyson Daniels,ATL,22.0,2520.0,15.5,16.536717007799727,1.0367170077997265
Immanuel Quickley,TOR,26.0,2231.0,16.6,16.536105071117117,-0.06389492888288473
Brandon Miller,CHO,23.0,1968.0,16.8,16.535683448834646,-0.26431655116535424
Jeremiah Fears,NOP,19.0,2112.0,13.8,16.5104945910024,2.710494591002398
Sandro Mamukelashvili,TOR,26.0,1751.0,18.1,16.494135014367362,-1.605864985632639
VJ Edgecombe,PHI,20.0,2623.0,14.0,16.41647231894131,2.4164723189413095
Ryan Rollins,MIL,23.0,2376.0,16.2,16.402531099679237,0.20253109967923777
Collin Sexton,2TM,27.0,1614.0,17.4,16.386992301681882,-1.0130076983181162
Luke Kornet,SAS,30.0,1430.0,17.9,16.352842469858412,-1.547157530141586
Keldon Johnson,SAS,26.0,1911.0,17.3,16.31389354041666,-0.9861064595833398
Payton Pritchard,BOS,28.0,2556.0,17.1,16.265934798586922,-0.8340652014130789
Maxime Raynaud,SAC,22.0,1964.0,16.0,16.254352965861237,0.2543529658612371
Shaedon Sharpe,POR,22.0,1471.0,15.3,16.238962671011652,0.9389626710116517
Miles Bridges,CHO,27.0,2387.0,16.0,16.199885513555248,0.1998855135552482
John Collins,LAC,28.0,1872.0,16.3,16.13399946238502,-0.16600053761498046
Ryan Kalkbrenner,CHO,24.0,1479.0,17.9,16.1279363062006,-1.7720636937993994
Brandon Williams,DAL,26.0,1463.0,16.8,16.12751952643167,-0.6724804735683314
Ajay Mitchell,OKC,23.0,1473.0,16.8,16.126243593962283,-0.6737564060377181
Jaime Jaquez Jr.,MIA,24.0,2121.0,15.7,16.122632279327735,0.42263227932773617
Nikola Vučević,2TM,35.0,1818.0,17.7,16.080547898400944,-1.6194521015990553
Brandin Podziemski,GSW,22.0,2333.0,15.0,16.07977421281172,1.0797742128117207
Coby White,2TM,25.0,1249.0,16.1,16.06558211942332,-0.034417880576683046
Andre Drummond,PHI,32.0,1231.0,16.4,16.032643817789538,-0.36735618221046096
Cedric Coward,MEM,22.0,1598.0,15.3,15.953417728466773,0.6534177284667724
Jalen Suggs,ORL,24.0,1574.0,15.6,15.923188195273315,0.32318819527331577
Justin Champagnie,WAS,24.0,1377.0,17.3,15.89726896744321,-1.4027310325567903
Naz Reid,MIN,26.0,2007.0,15.4,15.881934571147616,0.4819345711476153
Brandon Ingram,TOR,28.0,2604.0,16.3,15.842961607677681,-0.45703839232231935
Santi Aldama,MEM,25.0,1198.0,16.3,15.782457788406033,-0.5175422115939678
Jusuf Nurkić,UTA,31.0,1083.0,16.4,15.746245427354488,-0.6537545726455107
Reed Sheppard,HOU,21.0,2147.0,15.7,15.737580889409454,0.0375808894094547
Yves Missi,NOP,21.0,1297.0,15.0,15.720491951793512,0.7204919517935124
Bobby Portis,MIL,30.0,1619.0,17.1,15.704928836616405,-1.3950711633835962
Isaiah Collier,UTA,21.0,1517.0,14.8,15.704566688147217,0.9045666881472165
Norman Powell,MIA,32.0,1717.0,17.5,15.690184607700898,-1.809815392299102
Cam Spencer,MEM,25.0,1714.0,17.2,15.57278699416387,-1.6272130058361292
Isaiah Stewart,DET,24.0,1317.0,15.2,15.55739005610016,0.3573900561001615
DeMar DeRozan,SAC,36.0,2406.0,17.8,15.536236606179354,-2.2637633938206463
Bennedict Mathurin,2TM,23.0,1620.0,14.7,15.51374059352932,0.8137405935293209
Matas Buzelis,CHI,21.0,2248.0,14.8,15.490797144559664,0.6907971445596637
Gary Payton II,GSW,33.0,1142.0,18.3,15.428692467349991,-2.8713075326500093
Derrick White,BOS,31.0,2625.0,16.0,15.412745253428362,-0.587254746571638
GG Jackson II,MEM,21.0,1178.0,15.6,15.302457541661715,-0.29754245833828463
Paul George,PHI,35.0,1135.0,16.7,15.203779191860564,-1.4962208081394355
Saddiq Bey,NOP,26.0,2246.0,17.1,15.2013781502502,-1.8986218497498015
Precious Achiuwa,SAC,26.0,1745.0,16.2,15.066000420204116,-1.1339995797958835
Brice Sensabaugh,UTA,22.0,1762.0,14.4,14.939287225449165,0.539287225449165
Tari Eason,HOU,24.0,1549.0,12.9,14.932470318322082,2.0324703183220816
Jabari Smith Jr.,HOU,22.0,2705.0,13.5,14.931266518609076,1.4312665186090765
Jock Landale,2TM,30.0,1506.0,16.6,14.912813842081004,-1.6871861579189975
Jay Huff,IND,27.0,1719.0,15.2,14.886315301329294,-0.3136846986707056
OG Anunoby,NYK,28.0,2224.0,15.8,14.878218025596437,-0.9217819744035634
Bones Hyland,MIN,25.0,1177.0,15.1,14.860595587157679,-0.23940441284232072
Jaylin Williams,OKC,23.0,1277.0,13.8,14.781186622393728,0.9811866223937269
Josh Hart,NYK,30.0,1994.0,15.7,14.745426315462502,-0.9545736845374968
Nickeil Alexander-Walker,ATL,27.0,2603.0,16.5,14.696507202755587,-1.803492797244413
Collin Gillespie,PHO,26.0,2282.0,15.3,14.694461480074377,-0.6055385199256236
Jaylon Tyson,CLE,23.0,1777.0,14.8,14.66877774429661,-0.1312222557033902
Jordan Miller,LAC,26.0,1325.0,15.9,14.666752691061678,-1.2332473089383225
Ayo Dosunmu,2TM,26.0,1881.0,16.5,14.6621775244751,-1.8378224755249004
Peyton Watson,DEN,23.0,1598.0,14.3,14.624340991072152,0.32434099107215175
Anthony Black,ORL,22.0,1910.0,13.7,14.589826262071472,0.8898262620714732
Andrew Nembhard,IND,26.0,1786.0,15.7,14.43554444418652,-1.2644555558134787
Wendell Carter Jr.,ORL,26.0,2288.0,14.1,14.420970703322432,0.32097070332243227
Gui Santos,GSW,23.0,1395.0,14.2,14.414655090161101,0.21465509016110218
Zach LaVine,SAC,30.0,1224.0,14.7,14.389245266943561,-0.31075473305643797
Dominick Barlow,PHI,22.0,1689.0,13.2,14.387138358625675,1.1871383586256758
Jrue Holiday,POR,35.0,1560.0,16.4,14.37336966460939,-2.0266303353906086
Myles Turner,MIL,29.0,1912.0,14.2,14.362581138264463,0.1625811382644642
Naji Marshall,DAL,28.0,2184.0,15.4,14.346535771537049,-1.0534642284629516
Grayson Allen,PHO,30.0,1467.0,16.1,14.337939264629652,-1.7620607353703495
Isaiah Joe,OKC,26.0,1507.0,15.5,14.236537702719364,-1.2634622972806362
CJ McCollum,2TM,34.0,2264.0,15.9,14.173523284610884,-1.7264767153891167
Danny Wolf,BRK,21.0,1187.0,12.3,14.167842627017555,1.8678426270175539
Craig Porter Jr.,CLE,25.0,1148.0,13.7,14.15487645785598,0.4548764578559812
Andrew Wiggins,MIA,30.0,2063.0,15.1,14.01911230632431,-1.08088769367569
Mikal Bridges,NYK,29.0,2692.0,15.3,14.000226051893954,-1.299773948106047
Anfernee Simons,2TM,26.0,1372.0,14.4,13.906604587509612,-0.4933954124903881
Devin Vassell,SAS,25.0,2044.0,13.0,13.900641126666113,0.9006411266661125
Oso Ighodaro,PHO,23.0,1808.0,13.8,13.891049141478234,0.09104914147823351
Kyshawn George,WAS,22.0,1391.0,13.8,13.839509437373406,0.03950943737340573
Bilal Coulibaly,WAS,21.0,1468.0,13.5,13.835880649700876,0.3358806497008757
Malik Monk,SAC,27.0,1364.0,14.2,13.816477844091025,-0.38352215590897387
Adem Bona,PHI,22.0,1234.0,12.8,13.81183758916702,1.011837589167019
De'Anthony Melton,GSW,27.0,1125.0,13.4,13.785468692437263,0.38546869243726256
Tobias Harris,DET,33.0,1746.0,15.0,13.7786820932791,-1.2213179067209001
Cameron Johnson,DEN,29.0,1647.0,12.8,13.759234730232706,0.9592347302327049
Christian Braun,DEN,24.0,1399.0,12.6,13.747838670192134,1.1478386701921348
Quentin Grimes,PHI,25.0,2206.0,12.9,13.743087299371485,0.8430872993714846
