feature,mean_abs_shap
per,1.7903391
per_lag1,0.49001473
years_past_peak,0.3105923
usg_percent,0.22093649
years_to_peak,0.14241274
obpm,0.11290757
per_roll3,0.10580017
ws,0.09942529
f_tr,0.08842216
per_lag2,0.08606153
decline_pressure,0.079927176
vorp,0.07623399
career_per,0.072060145
percent_fga_from_x3p_range,0.06804774
bpm,0.06719522
avg_dist_fga,0.061375387
trb_percent,0.059841454
team_pace,0.05395153
usg_percent_lag1,0.04523481
drb_percent,0.044659127
tov_percent,0.044388697
ws_48,0.043095756
is_past_peak,0.03943017
wt,0.03632722
below_career_best,0.036256243
exp_sq,0.03574672
per_delta1,0.033925027
sf_percent,0.02779616
mp_per_g,0.027666047
team_o_rtg,0.026669472
vorp_roll3,0.024622139
dev_ts_percent,0.022900222
ws_48_lag1,0.022611514
career_mp,0.020217555
team_w,0.020153778
blk_percent,0.018767107
dws,0.017821923
ts_percent_roll3,0.017742664
per_slope2,0.01588858
team_age,0.01587372
gs,0.0158095
career_best_per,0.01523775
vorp_lag1,0.013752779
percent_assisted_x2p_fg,0.013639023
ast_percent,0.013492014
career_bpm,0.013305487
bpm_lag1,0.013152342
ts_percent_delta1,0.012181496
career_usg_percent,0.011763157
usg_percent_lag2,0.011737714
dbpm,0.011709155
dev_usg_percent,0.011528882
d_rtg,0.010987048
vorp_lag2,0.010983519
ows,0.010704982
experience,0.010342719
bpm_roll3,0.009282912
age_x_mp,0.00925127
ws_48_delta1,0.009178736
ws_48_roll3,0.008859611
bpm_delta1,0.0085996315
seasons_observed,0.008554757
bpm_lag2,0.008344304
ts_percent,0.0083139
vorp_delta1,0.008138072
ws_48_delta2,0.007374649
mp,0.00717303
orb_percent,0.006983635
starter_share,0.0066425772
dev_bpm,0.0066029057
ts_percent_delta2,0.0065866923
usg_shift,0.0062511526
ws_48_lag2,0.006167951
sg_percent,0.0059345006
career_ts_percent,0.0059153694
mp_delta2,0.005753688
mp_delta1,0.0054086787
mp_trend,0.00536594
usg_percent_delta2,0.0048985984
usg_percent_delta1,0.0047746734
ts_percent_lag2,0.004757589
mp_roll3,0.0046999967
o_rtg,0.004370495
g_roll3,0.0039771968
ts_percent_lag1,0.0038919419
mp_lag2,0.0037289413
stl_percent,0.0034899053
mp_lag1,0.003358216
pg_percent,0.0032616376
team_d_rtg,0.003234873
per_delta2,0.003008317
g_lag2,0.0029957728
g_delta2,0.0029342952
bpm_delta2,0.002859202
dev_mp,0.0024815046
pf_percent,0.0024195444
c_percent,0.002418902
vorp_delta2,0.0021494816
usg_percent_roll3,0.0019288239
dev_per,0.0017955016
g,0.0017228769
ht_in_in,0.0017155061
g_delta1,0.0015959594
g_share_lag1,0.0004327368
was_traded,0.0
declining_2yr,0.0
improving_2yr,0.0
