player_id,player,position,height_in,weight_lb,first_season,last_season,seasons_played,career_length
abdulma02,Mahmoud Abdul-Rauf,PG,73.0,162.0,1997,2001,3,5
abdulta01,Tariq Abdul-Wahad,SG,78.0,223.0,1998,2003,6,6
abdursh01,Shareef Abdur-Rahim,PF,81.0,225.0,1997,2008,12,12
abrinal01,Álex Abrines,SG,78.0,200.0,2017,2019,3,3
achiupr01,Precious Achiuwa,C,80.0,243.0,2021,2026,6,6
ackeral01,Alex Acker,SG,77.0,185.0,2006,2009,2,4
acyqu01,Quincy Acy,PF,79.0,240.0,2013,2019,7,7
adamsha01,Hassan Adams,SG,76.0,220.0,2007,2009,2,3
adamsja01,Jaylen Adams,PG,72.0,225.0,2019,2021,2,3
adamsjo01,Jordan Adams,SG,77.0,209.0,2015,2016,2,2
adamsst01,Steven Adams,C,83.0,265.0,2014,2026,12,13
addisra01,Rafael Addison,SF,79.0,215.0,1997,1997,1,1
adebaba01,Bam Adebayo,C,81.0,255.0,2018,2026,9,9
adelde01,Deng Adel,SF,79.0,200.0,2019,2019,1,1
adrieje01,Jeff Adrien,PF,79.0,245.0,2011,2015,5,5
afflaar01,Arron Afflalo,SG,77.0,210.0,2008,2018,11,11
agbajoc01,Ochai Agbaji,SG,77.0,215.0,2023,2026,4,4
agerma01,Maurice Ager,SG,77.0,202.0,2007,2011,4,5
ahearbl01,Blake Ahearn,PG,74.0,190.0,2008,2012,3,5
ajincal01,Alexis Ajinça,C,86.0,248.0,2009,2017,7,9
akognjo01,Josh Akognon,PG,71.0,185.0,2013,2013,1,1
akoonde01,DeVaughn Akoon-Purcell,SG,78.0,200.0,2019,2019,1,1
alabiso01,Solomon Alabi,C,85.0,251.0,2011,2012,2,2
aldamsa01,Santi Aldama,PF,84.0,215.0,2022,2026,5,5
aldemfu01,Furkan Aldemir,PF,82.0,240.0,2015,2015,1,1
aldrico01,Cole Aldrich,C,83.0,253.0,2011,2018,8,8
aldrila01,LaMarcus Aldridge,C,83.0,250.0,2007,2022,16,16
alexacl01,Cliff Alexander,PF,80.0,245.0,2016,2016,1,1
alexaco01,Cory Alexander,SG,73.0,185.0,1997,2005,6,9
alexaco02,Courtney Alexander,PG,77.0,205.0,2001,2003,3,3
alexajo01,Joe Alexander,SF,80.0,230.0,2009,2010,2,2
alexaky01,Kyle Alexander,C,83.0,220.0,2020,2020,1,1
alexani01,Nickeil Alexander-Walker,SG,77.0,205.0,2020,2026,7,7
alexatr01,Trey Alexander,SG,77.0,185.0,2025,2026,2,2
alexaty01,Ty-Shon Alexander,SG,75.0,195.0,2021,2021,1,1
alexavi01,Victor Alexander,C,81.0,265.0,2002,2002,1,1
alkinra01,Rawle Alkins,SG,77.0,225.0,2019,2019,1,1
allengr01,Grayson Allen,SG,75.0,198.0,2019,2026,8,8
allenja01,Jarrett Allen,C,81.0,243.0,2018,2026,9,9
allenje01,Jerome Allen,SG,76.0,184.0,1997,1997,1,1
allenka01,Kadeem Allen,PG,73.0,200.0,2018,2020,3,3
allenla01,Lavoy Allen,PF,81.0,260.0,2012,2017,6,6
allenma01,Malik Allen,PF,82.0,255.0,2002,2011,10,10
allenra02,Ray Allen,SG,77.0,205.0,1997,2014,18,18
allenti01,Timmy Allen,SF,78.0,210.0,2024,2024,1,1
allento01,Tony Allen,SF,76.0,213.0,2005,2018,14,14
allrela01,Lance Allred,C,83.0,250.0,2008,2008,1,1
almonmo01,Morris Almond,SG,78.0,225.0,2008,2012,3,5
alstode01,Derrick Alston,C,83.0,225.0,1997,1997,1,1
alstora01,Rafer Alston,PG,74.0,171.0,2000,2010,11,11
