season,players,avg_age,avg_pace,avg_3par,era
1997,441,27.574,90.179,0.198,Early (97-04)
1998,439,27.656,90.224,0.153,Early (97-04)
1999,440,27.573,88.879,0.154,Early (97-04)
2000,439,27.674,93.114,0.156,Early (97-04)
2001,441,27.662,91.222,0.157,Early (97-04)
2002,440,27.209,90.607,0.162,Early (97-04)
2003,428,27.079,91.01,0.158,Early (97-04)
2004,442,27.005,89.994,0.162,Early (97-04)
2005,464,26.856,90.726,0.174,Mid (05-11)
2006,458,26.45,90.551,0.178,Mid (05-11)
2007,458,26.395,91.83,0.197,Mid (05-11)
2008,451,26.729,92.417,0.207,Mid (05-11)
2009,445,26.503,91.513,0.21,Mid (05-11)
2010,442,26.627,92.757,0.213,Mid (05-11)
2011,452,26.681,92.002,0.213,Mid (05-11)
2012,478,26.642,91.238,0.223,3PT Boom (12-18)
2013,469,26.612,91.998,0.238,3PT Boom (12-18)
2014,482,26.504,93.965,0.263,3PT Boom (12-18)
2015,492,26.537,93.841,0.273,3PT Boom (12-18)
2016,476,26.595,95.777,0.282,3PT Boom (12-18)
2017,486,26.407,96.376,0.314,3PT Boom (12-18)
2018,540,26.091,97.301,0.346,3PT Boom (12-18)
2019,530,25.896,100.027,0.367,Modern (19-26)
2020,529,25.563,100.297,0.382,Modern (19-26)
2021,540,25.556,99.241,0.398,Modern (19-26)
2022,605,25.75,98.198,0.399,Modern (19-26)
2023,539,25.727,99.166,0.402,Modern (19-26)
2024,572,25.743,98.515,0.403,Modern (19-26)
2025,569,25.81,98.836,0.427,Modern (19-26)
2026,582,25.885,99.359,0.42,Modern (19-26)
