season,team,wins,losses,pace,off_rating,def_rating,team_season_key,win_pct
1997,ATL,56.0,26.0,86.8,108.5,102.3,ATL_1997,0.683
1997,BOS,15.0,67.0,95.8,103.9,111.4,BOS_1997,0.183
1997,CHH,54.0,28.0,88.6,110.9,108.9,CHH_1997,0.659
1997,CHI,69.0,13.0,90.0,114.4,102.4,CHI_1997,0.841
1997,CLE,42.0,40.0,82.9,104.6,102.4,CLE_1997,0.512
1997,DAL,24.0,58.0,89.0,101.1,108.2,DAL_1997,0.293
1997,DEN,21.0,61.0,92.4,104.5,111.2,DEN_1997,0.256
1997,DET,54.0,28.0,84.5,110.6,104.4,DET_1997,0.659
1997,GSW,30.0,52.0,91.9,107.2,112.2,GSW_1997,0.366
1997,HOU,57.0,25.0,91.6,108.8,104.0,HOU_1997,0.695
1997,IND,39.0,43.0,89.0,105.8,104.7,IND_1997,0.476
1997,LAC,36.0,46.0,91.3,105.1,107.6,LAC_1997,0.439
1997,LAL,56.0,26.0,91.1,108.3,103.7,LAL_1997,0.683
1997,MIA,61.0,21.0,88.2,106.8,100.6,MIA_1997,0.744
1997,MIL,33.0,49.0,89.5,106.2,108.3,MIL_1997,0.402
1997,MIN,40.0,42.0,90.7,105.5,107.1,MIN_1997,0.488
1997,NJN,26.0,56.0,92.4,104.7,109.7,NJN_1997,0.317
1997,NYK,57.0,25.0,90.5,104.4,101.0,NYK_1997,0.695
1997,ORL,45.0,37.0,88.3,105.6,106.0,ORL_1997,0.549
1997,PHI,22.0,60.0,95.3,104.6,111.4,PHI_1997,0.268
1997,PHO,40.0,42.0,93.2,109.3,108.6,PHO_1997,0.488
1997,POR,49.0,33.0,90.9,107.9,103.3,POR_1997,0.598
1997,SAC,34.0,48.0,91.0,105.0,108.7,SAC_1997,0.415
1997,SAS,20.0,62.0,87.3,103.3,112.3,SAS_1997,0.244
1997,SEA,57.0,25.0,90.3,111.2,102.7,SEA_1997,0.695
1997,TOR,30.0,52.0,90.6,104.6,108.0,TOR_1997,0.366
1997,UTA,64.0,18.0,90.0,113.6,104.0,UTA_1997,0.78
1997,VAN,14.0,68.0,88.4,100.3,111.8,VAN_1997,0.171
