age,n,value,method
19.0,97,13.048,Cross-sectional
20.0,236,13.778,Cross-sectional
21.0,382,14.68,Cross-sectional
22.0,508,15.133,Cross-sectional
23.0,649,15.077,Cross-sectional
24.0,683,15.342,Cross-sectional
25.0,689,15.605,Cross-sectional
26.0,675,15.698,Cross-sectional
27.0,637,15.519,Cross-sectional
28.0,595,15.507,Cross-sectional
29.0,541,15.005,Cross-sectional
30.0,464,15.07,Cross-sectional
31.0,400,14.562,Cross-sectional
32.0,309,14.829,Cross-sectional
33.0,238,14.648,Cross-sectional
34.0,188,14.641,Cross-sectional
35.0,143,14.617,Cross-sectional
36.0,94,15.074,Cross-sectional
37.0,65,14.546,Cross-sectional
38.0,36,14.553,Cross-sectional
19.0,70,16.731,Within-player
20.0,189,18.389,Within-player
21.0,297,19.48,Within-player
22.0,392,20.287,Within-player
23.0,496,20.56,Within-player
24.0,514,20.883,Within-player
25.0,530,20.804,Within-player
26.0,501,20.542,Within-player
27.0,485,20.38,Within-player
28.0,440,19.787,Within-player
29.0,384,19.424,Within-player
30.0,332,18.478,Within-player
31.0,260,17.946,Within-player
32.0,191,17.021,Within-player
33.0,154,16.103,Within-player
34.0,124,15.206,Within-player
35.0,85,14.566,Within-player
36.0,58,13.237,Within-player
