season,player_id,player,team,age,experience,games,games_started,minutes,per,true_shooting,usage_rate,bpm,vorp,win_shares,ws_per_48,obpm,dbpm,reb_rate,ast_rate,stl_rate,blk_rate,tov_rate,three_pt_rate,team_pace,team_wins,team_season_key,minutes_per_game,qualified
1997,abdulma02,Mahmoud Abdul-Rauf,SAC,27.0,7,75,51.0,2131.0,13.2,0.524,23.2,-2.6,-0.4,2.7,0.06,-0.8,-1.8,3.3,15.8,1.4,0.2,10.8,0.266,91.0,34.0,SAC_1997,28.4,1
1997,abdursh01,Shareef Abdur-Rahim,VAN,20.0,1,80,71.0,2802.0,17.4,0.518,27.6,-1.8,0.2,2.9,0.049,0.3,-2.1,11.5,12.1,1.5,2.2,13.5,0.022,88.4,14.0,VAN_1997,35.0,1
1997,addisra01,Rafael Addison,CHH,32.0,6,41,3.0,355.0,10.6,0.476,20.1,-4.4,-0.2,0.4,0.048,-2.6,-1.7,7.7,15.5,1.2,0.6,11.2,0.164,88.6,54.0,CHH_1997,8.7,0
1997,alexaco01,Cory Alexander,SAS,23.0,2,80,6.0,1454.0,14.3,0.528,22.2,-0.6,0.5,1.1,0.035,0.3,-0.8,5.1,30.0,3.1,0.9,21.1,0.514,87.3,20.0,SAS_1997,18.2,1
1997,allenje01,Jerome Allen,2TM,24.0,2,76,1.0,943.0,8.7,0.451,15.6,-2.6,-0.1,0.4,0.021,-2.5,-0.2,6.1,25.3,1.8,0.3,21.4,0.421,,,2TM_1997,12.4,0
1997,allenra02,Ray Allen,MIL,21.0,1,82,81.0,2532.0,14.6,0.541,21.4,-0.1,1.2,4.9,0.092,0.8,-0.9,7.9,13.9,1.6,0.3,12.8,0.328,89.5,33.0,MIL_1997,30.9,1
1997,alstode01,Derrick Alston,ATL,24.0,3,2,0.0,11.0,-9.0,0.0,25.2,-21.6,-0.1,-0.1,-0.415,-9.5,-12.1,21.7,0.0,0.0,0.0,0.0,0.0,86.8,56.0,ATL_1997,5.5,0
1997,amayaas01,Ashraf Amaya,WSB,25.0,2,31,0.0,144.0,8.8,0.382,19.4,-7.1,-0.2,0.1,0.019,-6.2,-0.9,21.1,2.9,2.5,1.6,16.0,0.025,92.4,44.0,WSB_1997,4.6,0
1997,andergr01,Greg Anderson,SAS,32.0,9,82,48.0,1659.0,11.4,0.531,10.5,-3.5,-0.6,2.2,0.064,-3.6,0.1,16.2,3.2,2.1,3.2,19.4,0.004,87.3,20.0,SAS_1997,20.2,1
1997,anderke01,Kenny Anderson,POR,26.0,6,82,81.0,3081.0,19.5,0.54,22.2,4.4,5.0,12.4,0.193,3.2,1.2,7.0,31.7,2.8,0.4,12.7,0.322,90.9,49.0,POR_1997,37.6,1
1997,anderni01,Nick Anderson,ORL,29.0,8,63,61.0,2163.0,13.8,0.494,18.2,1.8,2.1,4.2,0.093,0.2,1.6,8.2,14.5,3.0,1.1,10.1,0.559,88.3,45.0,ORL_1997,34.3,1
1997,andersh01,Shandon Anderson,UTA,23.0,1,65,0.0,1066.0,10.4,0.534,18.9,-3.6,-0.4,1.2,0.056,-2.3,-1.4,10.5,7.1,1.4,0.6,16.8,0.148,90.0,64.0,UTA_1997,16.4,1
1997,anderwi01,Willie Anderson,MIA,30.0,9,28,1.0,303.0,12.6,0.57,14.2,0.9,0.2,0.9,0.142,-1.4,2.2,8.2,18.2,2.5,1.0,20.7,0.297,88.2,61.0,MIA_1997,10.8,0
1997,anthogr01,Greg Anthony,VAN,29.0,6,65,44.0,1863.0,16.6,0.526,17.8,1.5,1.6,3.5,0.09,0.9,0.5,5.7,36.1,3.8,0.2,18.1,0.469,88.4,14.0,VAN_1997,28.7,1
1997,armstbj01,B.J. Armstrong,GSW,29.0,8,49,17.0,1020.0,12.9,0.538,18.1,-2.3,-0.1,1.3,0.061,-0.5,-1.8,4.3,20.3,1.3,0.2,12.8,0.275,91.9,30.0,GSW_1997,20.8,1
1997,armstda01,Darrell Armstrong,ORL,28.0,3,67,0.0,1010.0,14.7,0.525,22.4,1.1,0.8,1.8,0.085,0.5,0.7,4.4,29.7,3.3,0.7,20.2,0.525,88.3,45.0,ORL_1997,15.1,1
1997,askewvi01,Vincent Askew,3TM,30.0,8,43,0.0,838.0,9.7,0.532,14.9,-1.9,0.0,1.5,0.086,-2.7,0.8,7.0,17.3,1.1,0.6,17.0,0.129,,,3TM_1997,19.5,0
1997,askinke01,Keith Askins,MIA,29.0,7,78,30.0,1773.0,9.1,0.557,10.7,0.2,1.0,4.3,0.116,-1.5,1.7,9.1,6.7,1.6,0.8,14.6,0.539,88.2,61.0,MIA_1997,22.7,1
1997,augmost01,Stacey Augmon,2TM,28.0,6,60,10.0,942.0,11.3,0.531,16.2,-1.1,0.2,1.5,0.076,-2.6,1.5,8.8,9.4,2.4,1.5,19.6,0.0,,,2TM_1997,15.7,0
1997,austiis01,Isaac Austin,MIA,27.0,4,82,17.0,1881.0,14.2,0.536,22.5,-1.7,0.1,4.0,0.102,-2.5,0.8,15.1,9.9,1.3,1.8,17.9,0.005,88.2,61.0,MIA_1997,22.9,1
1997,bakervi01,Vin Baker,MIL,25.0,4,78,78.0,3159.0,20.1,0.553,25.3,2.0,3.2,8.3,0.127,2.1,-0.1,15.6,12.1,1.4,2.7,14.2,0.043,89.5,33.0,MIL_1997,40.5,1
1997,barklch01,Charles Barkley,HOU,33.0,13,53,53.0,2009.0,23.0,0.581,23.2,5.7,3.9,9.4,0.224,4.5,1.2,20.7,20.6,1.8,0.9,14.7,0.296,91.6,57.0,HOU_1997,37.9,1
1997,barroda01,Dana Barros,BOS,29.0,8,24,8.0,708.0,14.0,0.552,18.8,1.0,0.5,1.0,0.065,1.6,-0.6,3.9,18.6,1.8,0.6,12.5,0.415,95.8,15.0,BOS_1997,29.5,0
1997,barrybr01,Brent Barry,LAC,25.0,2,59,0.0,1094.0,15.0,0.526,20.3,0.4,0.7,2.1,0.09,0.6,-0.2,5.9,23.1,2.5,1.1,15.3,0.456,91.3,36.0,LAC_1997,18.5,1
1997,barryjo01,Jon Barry,ATL,27.0,5,58,8.0,965.0,13.2,0.535,15.9,1.3,0.8,2.4,0.118,-0.5,1.8,6.1,19.7,3.2,0.2,18.1,0.504,86.8,56.0,ATL_1997,16.6,0
1997,benjabe01,Benoit Benjamin,TOR,32.0,12,4,3.0,44.0,8.9,0.472,16.0,-5.4,0.0,0.0,0.033,-3.8,-1.6,12.0,3.7,1.2,0.0,12.7,0.0,90.6,30.0,TOR_1997,11.0,0
1997,benneel01,Elmer Bennett,2TM,26.0,3,9,0.0,75.0,5.8,0.47,20.0,-8.1,-0.1,-0.1,-0.075,-6.7,-1.4,3.1,22.3,2.8,0.0,29.9,0.474,,,2TM_1997,8.3,0
1997,besttr01,Travis Best,IND,24.0,2,76,46.0,2064.0,13.3,0.533,19.3,0.0,1.0,4.1,0.096,-0.9,0.9,4.8,26.4,2.6,0.2,17.8,0.25,89.0,39.0,IND_1997,27.2,1
1997,blaylmo01,Mookie Blaylock,ATL,29.0,8,78,78.0,3056.0,20.4,0.548,21.9,6.8,6.8,12.5,0.197,4.3,2.4,8.1,27.7,3.8,0.5,13.0,0.521,86.8,56.0,ATL_1997,39.2,1
1997,blounco01,Corie Blount,LAL,28.0,4,58,18.0,1009.0,11.9,0.559,11.8,-2.1,0.0,2.5,0.117,-2.2,0.1,15.6,5.2,1.1,2.0,18.8,0.017,91.1,56.0,LAL_1997,17.4,1
1997,boguemu01,Muggsy Bogues,CHH,32.0,10,65,65.0,1880.0,15.7,0.554,14.5,1.5,1.6,5.0,0.127,1.9,-0.4,4.5,38.6,2.4,0.1,18.6,0.325,88.6,54.0,CHH_1997,28.9,1
1997,boneyde01,Dexter Boney,PHO,26.0,1,8,0.0,48.0,10.2,0.422,22.1,-6.1,0.0,0.0,0.013,-4.0,-2.1,7.3,0.0,2.1,1.5,4.3,0.316,93.2,40.0,PHO_1997,6.0,0
1997,bookeme01,Melvin Booker,2TM,24.0,2,21,4.0,430.0,8.8,0.536,14.6,-3.7,-0.2,0.1,0.014,-2.0,-1.8,4.0,19.1,0.4,0.4,19.2,0.352,,,2TM_1997,20.5,0
1997,bowenbr01,Bruce Bowen,MIA,25.0,1,1,0.0,1.0,37.7,,0.0,97.4,0.0,0.0,0.321,36.8,60.7,0.0,0.0,0.0,77.8,,,88.2,61.0,MIA_1997,1.0,0
1997,boycedo01,Donnie Boyce,ATL,23.0,2,22,2.0,154.0,7.0,0.378,27.2,-6.3,-0.2,-0.3,-0.081,-6.8,0.5,5.8,14.7,3.6,2.0,18.0,0.254,86.8,56.0,ATL_1997,7.0,0
1997,bradlsh01,Shawn Bradley,2TM,24.0,4,73,70.0,2288.0,16.5,0.478,22.1,-1.1,0.5,3.0,0.062,-1.9,0.8,14.9,4.2,0.9,8.3,11.8,0.009,,,2TM_1997,31.3,1
1997,bradtma01,Mark Bradtke,PHI,28.0,1,36,0.0,251.0,9.6,0.463,12.2,-4.6,-0.2,0.2,0.044,-3.5,-1.1,14.8,4.2,1.0,1.4,12.4,0.0,95.3,22.0,PHI_1997,7.0,0
1997,brandte01,Terrell Brandon,CLE,26.0,6,78,78.0,2868.0,21.5,0.526,28.3,5.6,5.5,10.8,0.181,4.2,1.5,6.8,35.6,2.8,0.9,11.0,0.206,82.9,42.0,CLE_1997,36.8,1
1997,brickfr01,Frank Brickowski,BOS,37.0,12,17,2.0,255.0,6.9,0.512,16.5,-5.6,-0.2,-0.1,-0.02,-4.8,-0.8,7.7,9.1,1.0,1.2,19.4,0.274,95.8,15.0,BOS_1997,15.0,0
1997,brooksc01,Scott Brooks,NYK,31.0,9,38,0.0,251.0,11.0,0.625,11.5,1.5,0.2,0.7,0.136,-3.0,4.5,4.3,17.8,4.4,0.0,27.2,0.308,90.5,57.0,NYK_1997,6.6,0
1997,brownch01,Chucky Brown,2TM,28.0,8,70,1.0,757.0,11.3,0.552,12.4,-1.6,0.1,1.6,0.101,-1.6,0.0,11.9,5.7,0.6,2.2,9.3,0.039,,,2TM_1997,10.8,0
1997,brownde01,Dee Brown,BOS,28.0,7,21,2.0,522.0,11.3,0.455,16.4,-1.0,0.1,0.3,0.03,-1.7,0.7,5.3,19.6,3.0,1.0,12.0,0.392,95.8,15.0,BOS_1997,24.9,0
1997,brownma01,Marcus Brown,POR,22.0,1,21,0.0,184.0,12.9,0.523,22.4,-1.0,0.0,0.4,0.105,-0.9,0.0,4.8,18.0,2.3,0.8,14.2,0.457,90.9,49.0,POR_1997,8.8,0
1997,brownmi01,Mike Brown,PHO,33.0,11,6,1.0,83.0,11.1,0.488,10.0,-2.7,0.0,0.2,0.107,-1.3,-1.4,17.6,8.2,0.6,0.9,10.9,0.0,93.2,40.0,PHO_1997,13.8,0
