player,team,age,mp,per,pred_2027,delta,direction,age_group,tier
Nikola Jokić,DEN,30.0,2265.0,32.3,31.3,-1.0,Fall,28-30,All-Star
Shai Gilgeous-Alexander,OKC,27.0,2259.0,30.8,29.638,-1.162,Fall,25-27,All-Star
Giannis Antetokounmpo,MIL,31.0,1039.0,32.6,29.508,-3.092,Fall,31+,All-Star
Victor Wembanyama,SAS,22.0,1866.0,29.9,28.536,-1.364,Fall,<=24,All-Star
Luka Dončić,LAL,26.0,2289.0,27.9,27.42,-0.48,Hold,25-27,All-Star
Jalen Duren,DET,22.0,1976.0,26.1,24.711,-1.389,Fall,<=24,All-Star
Joel Embiid,PHI,31.0,1201.0,24.7,23.434,-1.266,Fall,31+,All-Star
Kawhi Leonard,LAC,34.0,2085.0,27.9,22.732,-5.168,Fall,31+,All-Star
Zion Williamson,NOP,25.0,1841.0,22.6,22.715,0.115,Hold,25-27,All-Star
Alperen Şengün,HOU,23.0,2398.0,21.4,22.186,0.786,Rise,<=24,All-Star
Cade Cunningham,DET,24.0,2172.0,21.6,21.877,0.277,Hold,<=24,Quality starter
Chet Holmgren,OKC,23.0,1997.0,21.6,21.739,0.139,Hold,<=24,Quality starter
Anthony Edwards,MIN,24.0,2137.0,21.8,21.633,-0.167,Hold,<=24,Quality starter
Donovan Mitchell,CLE,29.0,2342.0,22.9,21.489,-1.411,Fall,28-30,Quality starter
Karl-Anthony Towns,NYK,30.0,2322.0,22.0,21.235,-0.765,Fall,28-30,Quality starter
Donovan Clingan,POR,21.0,2094.0,20.9,21.204,0.304,Hold,<=24,Quality starter
Mark Williams,PHO,24.0,1416.0,21.8,21.17,-0.63,Fall,<=24,Quality starter
Jarrett Allen,CLE,27.0,1519.0,22.1,21.058,-1.042,Fall,25-27,Quality starter
Evan Mobley,CLE,24.0,2074.0,20.0,20.974,0.974,Rise,<=24,Quality starter
Tyrese Maxey,PHI,25.0,2661.0,21.9,20.661,-1.239,Fall,25-27,Quality starter
Amen Thompson,HOU,23.0,2953.0,18.9,20.332,1.432,Rise,<=24,Quality starter
