season,player_id,player,per,pred,target,resid,abs_resid,age_now,was_traded,age_group,miss_type
2022,achiupr01,Precious Achiuwa,12.7,13.755,15.2,1.445,1.445,24.0,0,<=24,Underestimated
2023,achiupr01,Precious Achiuwa,15.2,15.654,14.6,-1.054,1.054,24.0,0,<=24,Overestimated
2024,achiupr01,Precious Achiuwa,14.6,15.01,13.6,-1.41,1.41,24.0,1,<=24,Overestimated
2025,achiupr01,Precious Achiuwa,13.6,14.493,16.2,1.707,1.707,25.0,0,25-27,Underestimated
2022,adamsst01,Steven Adams,17.6,16.958,17.5,0.542,0.542,28.0,0,28-30,Underestimated
2022,adebaba01,Bam Adebayo,21.8,22.102,20.1,-2.002,2.002,24.0,0,<=24,Overestimated
2023,adebaba01,Bam Adebayo,20.1,20.997,19.8,-1.197,1.197,25.0,0,25-27,Overestimated
2024,adebaba01,Bam Adebayo,19.8,20.155,18.9,-1.255,1.255,26.0,0,25-27,Overestimated
2025,adebaba01,Bam Adebayo,18.9,18.96,18.7,-0.26,0.26,27.0,0,25-27,Overestimated
2023,agbajoc01,Ochai Agbaji,9.5,10.484,7.7,-2.784,2.784,24.0,0,<=24,Overestimated
2024,agbajoc01,Ochai Agbaji,7.7,9.157,12.0,2.843,2.843,24.0,1,<=24,Underestimated
2025,agbajoc01,Ochai Agbaji,12.0,11.087,8.9,-2.187,2.187,24.0,0,<=24,Overestimated
2023,aldamsa01,Santi Aldama,13.9,14.33,13.1,-1.23,1.23,24.0,0,<=24,Overestimated
2024,aldamsa01,Santi Aldama,13.1,13.755,16.8,3.045,3.045,24.0,0,<=24,Underestimated
2025,aldamsa01,Santi Aldama,16.8,15.691,16.3,0.609,0.609,24.0,0,<=24,Underestimated
2022,alexani01,Nickeil Alexander-Walker,10.5,12.189,11.6,-0.589,0.589,24.0,1,<=24,Overestimated
2024,alexani01,Nickeil Alexander-Walker,10.9,11.17,11.6,0.43,0.43,25.0,0,25-27,Underestimated
2025,alexani01,Nickeil Alexander-Walker,11.6,11.641,16.5,4.859,4.859,26.0,0,25-27,Underestimated
2022,allengr01,Grayson Allen,12.7,12.494,12.3,-0.194,0.194,26.0,0,25-27,Overestimated
2023,allengr01,Grayson Allen,12.3,12.597,13.8,1.203,1.203,27.0,0,25-27,Underestimated
2024,allengr01,Grayson Allen,13.8,12.975,13.7,0.725,0.725,28.0,0,28-30,Underestimated
2025,allengr01,Grayson Allen,13.7,12.884,16.1,3.216,3.216,29.0,0,28-30,Underestimated
2022,allenja01,Jarrett Allen,23.0,21.581,19.9,-1.681,1.681,24.0,0,<=24,Overestimated
2023,allenja01,Jarrett Allen,19.9,20.502,21.8,1.298,1.298,24.0,0,<=24,Underestimated
2024,allenja01,Jarrett Allen,21.8,21.197,22.1,0.903,0.903,25.0,0,25-27,Underestimated
2025,allenja01,Jarrett Allen,22.1,21.522,22.1,0.578,0.578,26.0,0,25-27,Underestimated
2023,alvarjo01,Jose Alvarado,11.8,13.11,12.5,-0.61,0.61,24.0,0,<=24,Overestimated
2024,alvarjo01,Jose Alvarado,12.5,12.943,13.4,0.457,0.457,25.0,0,25-27,Underestimated
2025,alvarjo01,Jose Alvarado,13.4,13.203,12.1,-1.103,1.103,26.0,0,25-27,Overestimated
2022,anderky01,Kyle Anderson,14.4,14.662,14.8,0.138,0.138,28.0,0,28-30,Underestimated
2023,anderky01,Kyle Anderson,14.8,14.109,12.7,-1.409,1.409,29.0,0,28-30,Overestimated
2024,anderky01,Kyle Anderson,12.7,12.611,15.1,2.489,2.489,30.0,0,28-30,Underestimated
2025,anderky01,Kyle Anderson,15.1,13.515,13.7,0.185,0.185,31.0,1,31-33,Underestimated
2022,antetgi01,Giannis Antetokounmpo,32.1,29.768,29.0,-0.768,0.768,27.0,0,25-27,Overestimated
2023,antetgi01,Giannis Antetokounmpo,29.0,28.657,29.9,1.243,1.243,28.0,0,28-30,Underestimated
2024,antetgi01,Giannis Antetokounmpo,29.9,28.464,30.5,2.036,2.036,29.0,0,28-30,Underestimated
2025,antetgi01,Giannis Antetokounmpo,30.5,28.677,32.6,3.923,3.923,30.0,0,28-30,Underestimated
2022,anthoco01,Cole Anthony,13.5,14.631,16.0,1.369,1.369,24.0,0,<=24,Underestimated
2023,anthoco01,Cole Anthony,16.0,16.5,14.6,-1.9,1.9,24.0,0,<=24,Overestimated
2024,anthoco01,Cole Anthony,14.6,15.744,14.2,-1.544,1.544,24.0,0,<=24,Overestimated
